ticker,date,PatternFound
SHREECEM.NS,2022-07-28,Hanging man
SHREECEM.NS,2022-09-01,Hanging man
SHREECEM.NS,2022-10-07,Hanging man
SHREECEM.NS,2022-10-21,Hanging man
SHREECEM.NS,2022-12-06,Hanging man
